insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '교육','Node.js 웹개발로 알아보는 백엔드 자바스크립트의 이해','윤지수','image패스','하단글귀','계획');
insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','클래식강의','그랜드피아노','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','초급 이태리 요리 강의','레시피','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','맛있는 비빔밥만들기','레시피','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','맛있는 라면끓이기','레시피','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','주식투자하기(차트분석)','나처럼','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','주식강의','나처럼','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','독후감 발표요령','초딩','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','논리적으로 글쓰기','유시민','image패스','하단글귀','계획');



insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '게임','주사위의 신이되는 마술 강의','니키','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '게임','스타크래프트 토스전강의','이영호','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '게임','스타크래프트2 저그 vs 테란','마무리','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '게임','헤카림 라인전 강의','게임코치','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '게임','3900점 겐지 선생의 강의','수리부엉이','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '게임','징크스 섬세강의','이석현','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','음악기초이론 강의','이혜화','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','중학교 음악','김하연','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','발성의 기초','소음공해','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','보컬강의','소음공해','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','작곡강의','솔로작곡가','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','작사강의','솔로작곡가','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','음정 강의','소음공해','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '음악','클래식강의','그랜드피아노','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','초급 이태리 요리 강의','레시피','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','맛있는 비빔밥만들기','레시피','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','맛있는 라면끓이기','레시피','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','주식투자하기(차트분석)','나처럼','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','주식강의','나처럼','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','독후감 발표요령','image패스','하단글귀','계획');

insert into unitt_courseboard values (courseboard_idx.nextval,'root', '관리자', '기타','논리적으로 글쓰기','유시민','image패스','하단글귀','계획');
